Question,Ground Truth
"What types of feeds does Spamhaus offer? https://www.securityzones.net/spamhaus/advanced-threat-feeds/#:~:text=Advanced%20Threat%20Feeds%20From%20Spamhaus,infected%20hosts%2C%20and%20related%20metadata.","Botcc, eXBL, eDBL, eCSS and Passive DNS — provide the most current, detailed, and actionable intelligence on botnets, infected hosts, and related metadata."
"What is the role of OSINT in cybersecurity? https://www.imperva.com/learn/application-security/open-source-intelligence-osint/#:~:text=Open%20Source%20Intelligence%20(OSINT)%20is,national%20intelligence%20agencies%2C%20or%20cybercriminals.","Open Source Intelligence (OSINT) is a method of gathering information from public or other open sources, which can be used by security experts, national intelligence agencies, or cybercriminals."
"What is a ""pass-the-hash"" attack? https://www.crowdstrike.com/cybersecurity-101/pass-the-hash/",Pass the hash (PtH) is a type of cybersecurity attack in which an adversary steals a “hashed” user credential and uses it to create a new user session on the same network
Why is CVE-2017-11882 frequently exploited? https://medium.com/@asmcybersecurity/cve-2017-11882-is-a-distinct-common-vulnerabilities-and-exposures-cve-entry-denoting-a-security-e44f886f3ca1,It can be exploited via the mere act of opening a document or email.
"How many phases are there in the Cyber Kill Chain model? https://www.lockheedmartin.com/en-us/capabilities/cyber/cyber-kill-chain.html#:~:text=The%20model%20identifies%20what%20the,adversary's%20tactics%2C%20techniques%20and%20procedures.",Seven steps.
What type of information is available in the Exploit-Kit Galaxy? https://misp-galaxy.org/exploit-kit/,"It includes document, browser and router exploit kits"
What is the PyMISP library used for? https://www.circl.lu/doc/misp/pymisp/,to access MISP platforms via their REST API.
"What is the role of CISA's Known Exploited Vulnerabilities Catalog? https://www.armosec.io/glossary/known-exploited-vulnerabilities-catalog-kev/#:~:text=The%20purpose%20of%20KEV%20is,%2C%20media%2C%20and%20government%20agencies.","The purpose of KEV is to provide a timely and authoritative source of information on CVEs that have been verified to be exploited by malicious actors based on open-source reporting and analysis from various sources, such as security vendors, researchers, media, and government agencies."
"What is the purpose of the Cyber Kill Chain model? https://darktrace.com/cyber-ai-glossary/cyber-kill-chain#:~:text=The%20Cyber%20Kill%20Chain%20is,to%20achieving%20the%20attacker's%20objective.","It serves as a framework for understanding and analyzing the different phases of an attack, from the initial reconnaissance to achieving the attacker's objective."
"What vulnerability was exploited in the Heartbleed attack? https://nordvpn.com/blog/what-is-heartbleed-bug/#:~:text=It%20allows%20the%20exploitation%20of,into%20giving%20away%20sensitive%20information%2C"," Hackers use Heartbleed to trick a vulnerable SSL/TLS server into giving away sensitive information, including usernames and passwords."
How many weaponized vulnerabilities were found in Apache HTTP Server between 2017 and 2021? https://www.trendmicro.com/en_gb/research/22/b/recent-cyberattacks-open-source-web-servers.html,31 vulnerabilites
"What attack method was used in the 2012 Shamoon attack on Saudi Aramco? https://en.wikipedia.org/wiki/Shamoon#:~:text=It%20was%20initiated%20by%20a,company's%20network%20around%20mid%2D2012.",phishing email attack
What is COSMICENERGY? https://www.mandiant.com/resources/blog/cosmicenergy-ot-malware-russian-response,"COSMICENERGY is a novel OT/ICS-oriented malware identified by Mandiant, designed to cause electric power disruption by interacting with IEC-104 devices."
What are the two main components of COSMICENERGY?  https://www.mandiant.com/resources/blog/cosmicenergy-ot-malware-russian-response,The two main components of COSMICENERGY are PIEHOP and LIGHTWORK.
What year was the ICS-focused malware IRONGATE identified by the FLARE team? https://www.mandiant.com/resources/blog/irongate-ics-malware,The FLARE team identified IRONGATE in the latter half of 2015.
"What utility does IRONGATE use, and how is it executed by the dropper? https://www.mandiant.com/resources/blog/irongate-ics-malware","IRONGATE uses the NirSoft NetResView utility, which is executed by the dropper using the command audiodg.exe /scomma scxrt2.ini."
